Work Year,Job Category,Job Title,Experience Level,Employment Type,Salary in USD,Work Setting,Company Location,Employee Residence,Company Size
2022,Machine Learning and AI,Machine Learning Engineer,Senior,Full-time,150000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,210000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,130000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,182750,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,161500,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,102640,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Mid-level,Full-time,66100,Remote,United States,United States,M
2022,Data Science and Research,Research Scientist,Senior,Full-time,210000,Remote,United States,United States,M
2022,Data Science and Research,Research Scientist,Senior,Full-time,150000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,198800,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,122600,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,130000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Mid-level,Full-time,80000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,136000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Senior,Full-time,104000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,150000,Remote,United States,United States,M
2022,Data Analysis,Data Analyst,Senior,Full-time,100000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,160000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Entry-level,Full-time,135000,In-person,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,216000,Remote,United States,United States,M
2022,Data Engineering,Data Engineer,Senior,Full-time,144000,Remote,United States,United States,M
2022,Data Science and Research,Data Scientist,Executive,Full-time,159000,Remote,United States,United States,M
